1,"Ялта-Интурист","Yalta-Inturist",1
2,"Бристоль","Bristol",1
3,"Ореанда","Oreanda",1
4,"Ripario Hotel Group","Ripario Hotel Group",1
5,"Respect Hall Resort Hotel","Respect Hall Resort Hotel",3
6,"Южнобережный","Yuzhnoberezhny",4
7,"Жемчужина","Zhemchuzhina",5
8,"Алуштинский","Alushtinskiy",2
9,"Восход","Voshod",2
10,"Крымские Зори","Krymskie Zori",2
11,"Утес","Utes",7
12,"Славутич","Slavutich",2
13,"Киев","Kiev",2
14,"Маджестик","Majestic",8
15,"Новый Свет","Novy Svet",9
16,"Судак","Sudak",10
17,"Звездный","Zvezdny",10
18,"Бастион","Bastion",10
19,"Крымское Приморье","Krymskoe Primorye",11
20,"Приморье","Primorye",12
21,"Голубой залив","Goluboy Zaliv",12
22,"Золотой берег","Zolotoy Bereg",14
23,"Золотой пляж","Zolotoy Plyaj",13
24,"Атлантик","Atlantic",13
